Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,Weather
2025-01-14,Chennai,195.37,137.98,91.13,19.48,0.97,41.81,82.58,Clear
2025-01-14,Hyderabad,208.91,254.02,127.41,19.76,4.2,25.31,112.9,Cloudy
2025-01-14,Pune,211.72,261.32,74.65,39.36,1.77,86.79,115.26,Cloudy
2025-01-14,Ahmedabad,105.5,218.9,126.75,69.42,8.33,145.09,124.83,Clear
2025-01-14,Jaipur,203.36,159.48,60.76,51.62,4.5,62.8,97.17,Cloudy
2025-01-14,Lucknow,169.51,69.75,44.74,28.07,1.62,113.72,73.67,Hazy
2025-01-13,Delhi,77.53,127.13,58.67,54.59,5.54,19.14,65.41,Foggy
2025-01-13,Mumbai,223.48,97.37,47.25,96.51,8.34,125.56,112.26,Hazy
2025-01-13,Bangalore,63.56,220.67,58.1,83.22,8.98,94.87,101.7,Clear
2025-01-13,Kolkata,125.77,216.96,90.93,70.69,4.31,106.63,109.01,Rainy
2025-01-13,Chennai,155.83,152.84,102.58,16.15,4.19,66.22,89.25,Cloudy
2025-01-13,Hyderabad,148.61,31.27,105.92,35.25,8.98,167.97,96.47,Hazy
2025-01-13,Pune,168.12,101.27,65.41,71.68,8.59,100.24,98.77,Hazy
2025-01-13,Ahmedabad,85.22,89.79,90.13,93.56,8.29,130.75,95.39,Cloudy
2025-01-13,Jaipur,26.12,180.26,92.49,45.82,7.95,155.08,96.55,Foggy
2025-01-13,Lucknow,51.65,218.89,99.83,43.43,6.69,23.65,84.06,Foggy
2025-01-12,Delhi,82.1,115.06,34.3,62.83,7.42,109.18,79.61,Hazy
2025-01-12,Mumbai,134.41,249.54,92.65,13.82,7.39,178.31,123.77,Foggy
2025-01-12,Bangalore,59.66,173.53,116.42,45.48,3.41,137.41,94.43,Hazy
2025-01-12,Kolkata,50.57,278.2,94.38,75.35,2.19,63.9,97.38,Rainy
2025-01-12,Chennai,34.29,165.62,141.62,49.86,4.74,92.61,88.57,Cloudy
2025-01-12,Hyderabad,143.95,231.05,96.1,64.82,3.89,151.31,121.02,Foggy
2025-01-12,Pune,39.12,248.41,14.49,60.01,4.03,56.53,76.48,Hazy
2025-01-12,Ahmedabad,43.17,297.24,100.81,22.36,7.03,64.77,99.77,Clear
2025-01-12,Jaipur,124.2,193.49,101.94,45.73,7.38,154.54,115.62,Cloudy
2025-01-12,Lucknow,108.92,231.09,95.4,83.74,0.63,179.79,117.54,Rainy
2025-01-11,Delhi,111.71,50.5,78.74,91.81,1.83,50.97,67.0,Hazy
2025-01-11,Mumbai,181.71,148.13,24.5,77.85,3.36,90.63,92.74,Foggy
2025-01-11,Bangalore,122.15,197.97,50.84,51.28,1.14,99.32,88.83,Hazy
2025-01-11,Kolkata,186.99,106.94,47.82,28.44,8.05,15.94,77.77,Rainy
2025-01-11,Chennai,28.58,31.31,131.36,6.67,7.13,113.53,63.79,Clear
2025-01-11,Hyderabad,87.77,291.01,33.81,48.24,3.99,167.18,111.32,Rainy
2025-01-11,Pune,143.23,185.58,111.22,37.64,4.55,25.51,91.45,Hazy
2025-01-11,Ahmedabad,208.65,73.66,132.24,63.15,9.55,42.29,102.58,Foggy
2025-01-11,Jaipur,184.72,197.83,79.88,88.97,9.45,31.26,112.86,Foggy
2025-01-11,Lucknow,28.81,216.44,74.2,54.94,7.65,119.25,95.02,Hazy
2025-01-10,Delhi,181.87,61.67,43.11,14.95,2.7,43.72,62.05,Hazy
2025-01-10,Mumbai,225.66,87.91,11.88,72.12,0.81,71.61,79.55,Foggy
2025-01-10,Bangalore,188.25,117.96,22.39,38.2,8.08,146.1,98.95,Rainy
2025-01-10,Kolkata,195.91,107.23,89.1,62.82,5.3,45.74,92.3,Rainy
2025-01-10,Chennai,242.04,250.57,11.71,21.8,5.55,22.77,100.73,Hazy
2025-01-10,Hyderabad,178.4,199.65,68.31,64.03,4.41,37.86,98.73,Hazy
2025-01-10,Pune,225.68,145.98,59.66,57.07,9.33,118.14,116.64,Rainy
2025-01-10,Ahmedabad,91.67,240.88,121.21,85.14,1.23,69.84,103.51,Cloudy
2025-01-10,Jaipur,40.86,154.81,116.78,92.15,9.97,36.08,90.06,Cloudy
2025-01-10,Lucknow,218.86,173.01,18.28,32.34,0.56,58.8,84.48,Clear
2025-01-09,Delhi,88.31,247.08,115.36,33.99,4.91,74.65,101.42,Foggy
2025-01-09,Mumbai,100.01,203.74,11.76,82.58,8.25,65.25,90.97,Rainy
2025-01-09,Bangalore,230.85,134.26,73.81,79.16,8.87,97.35,117.36,Cloudy
2025-01-09,Kolkata,37.63,272.87,49.89,64.86,5.12,26.4,83.81,Foggy
2025-01-09,Chennai,114.61,194.54,143.49,38.4,0.78,171.08,111.65,Cloudy
2025-01-09,Hyderabad,164.25,268.55,46.83,54.31,3.19,72.95,106.47,Rainy
2025-01-09,Pune,73.18,239.45,138.79,31.88,5.1,120.12,109.07,Hazy
2025-01-09,Ahmedabad,51.3,242.34,31.13,65.04,2.32,53.04,77.67,Foggy
2025-01-09,Jaipur,40.91,172.21,89.16,95.23,0.53,16.52,69.89,Cloudy
2025-01-09,Lucknow,209.37,106.25,148.71,43.38,2.93,122.51,109.92,Rainy
2025-01-08,Delhi,81.46,289.46,14.39,68.11,5.64,91.74,100.26,Clear
2025-01-08,Mumbai,163.53,102.31,112.3,32.99,1.79,137.04,94.35,Rainy
